City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bathsheba,13.2167,-59.5167,79.41,69,20,17.27,BB,2022-04-14 03:23:21
1,Nikolskoye,59.7035,30.7861,34.81,91,92,2.93,RU,2022-04-14 03:18:35
2,New Norfolk,-42.7826,147.0587,65.91,49,100,3.0,AU,2022-04-14 03:23:21
3,Goksun,38.021,36.4973,31.42,54,0,6.8,TR,2022-04-14 03:23:22
4,Ostrovnoy,68.0531,39.5131,12.27,96,91,7.16,RU,2022-04-14 03:23:23
5,Hamilton,39.1834,-84.5333,61.63,95,100,8.05,US,2022-04-14 03:23:08
6,Ribeira Grande,38.5167,-28.7,59.2,65,0,12.62,PT,2022-04-14 03:23:23
7,Dubbo,-32.25,148.6167,75.33,43,40,12.66,AU,2022-04-14 03:20:27
8,Bluff,-46.6,168.3333,59.81,77,75,20.27,NZ,2022-04-14 03:23:23
9,Klaksvik,62.2266,-6.589,41.92,86,58,17.49,FO,2022-04-14 03:20:40
10,Ayia Galini,35.1,24.6833,52.84,42,91,4.81,GR,2022-04-14 03:23:24
11,Ponta Do Sol,32.6667,-17.1,64.0,83,55,1.9,PT,2022-04-14 03:23:25
12,Saint Anthony,45.0205,-93.218,35.38,55,0,18.41,US,2022-04-14 03:20:10
13,Comodoro Rivadavia,-45.8667,-67.5,62.46,48,0,14.97,AR,2022-04-14 03:21:48
14,Roebourne,-20.7833,117.1333,94.55,20,0,3.85,AU,2022-04-14 03:23:25
15,Chuy,-33.6971,-53.4616,52.11,80,2,7.38,UY,2022-04-14 03:23:26
16,Punta Arenas,-53.15,-70.9167,51.91,66,20,34.52,CL,2022-04-14 03:20:55
17,Barrow,71.2906,-156.7887,1.42,92,0,12.66,US,2022-04-14 03:20:36
18,Upernavik,72.7868,-56.1549,-11.69,100,93,6.51,GL,2022-04-14 03:23:26
19,Awbari,26.5921,12.7805,77.4,9,0,7.16,LY,2022-04-14 03:23:27
20,Kodiak,57.79,-152.4072,44.11,49,0,16.11,US,2022-04-14 03:18:51
21,Lebu,-37.6167,-73.65,51.48,91,5,13.65,CL,2022-04-14 03:23:27
22,Cherskiy,68.75,161.3,12.67,88,100,8.81,RU,2022-04-14 03:23:27
23,Port Elizabeth,-33.918,25.5701,65.32,86,20,12.66,ZA,2022-04-14 03:23:28
24,Leningradskiy,69.3833,178.4167,8.38,91,95,14.12,RU,2022-04-14 03:23:28
25,Paamiut,61.994,-49.6678,26.96,89,100,21.12,GL,2022-04-14 03:18:58
26,Vaini,-21.2,-175.2,82.56,89,40,8.05,TO,2022-04-14 03:23:29
27,Lagoa,39.05,-27.9833,58.33,61,0,17.38,PT,2022-04-14 03:23:29
28,Namwala,-15.7504,26.4384,62.58,91,53,4.07,ZM,2022-04-14 03:23:30
29,Grand Gaube,-20.0064,57.6608,79.38,83,45,7.0,MU,2022-04-14 03:23:30
30,Poum,-20.2333,164.0167,78.55,75,7,6.46,NC,2022-04-14 03:23:30
31,Rikitea,-23.1203,-134.9692,78.4,70,10,19.1,PF,2022-04-14 03:23:12
32,Dargaville,-35.9333,173.8833,64.9,56,99,11.23,NZ,2022-04-14 03:23:31
33,Port Hardy,50.6996,-127.4199,42.8,75,75,11.5,CA,2022-04-14 03:23:31
34,Hithadhoo,-0.6,73.0833,83.84,74,100,9.37,MV,2022-04-14 03:18:49
35,Erenhot,43.6475,111.9767,41.67,24,4,14.76,CN,2022-04-14 03:23:32
36,Busselton,-33.65,115.3333,68.31,45,0,6.35,AU,2022-04-14 03:23:32
37,Cidreira,-30.1811,-50.2056,67.17,76,100,8.41,BR,2022-04-14 03:21:06
38,Cape Town,-33.9258,18.4232,63.88,86,0,16.11,ZA,2022-04-14 03:21:33
39,Murovane,49.5214,22.9367,39.7,77,0,3.96,UA,2022-04-14 03:23:33
40,Saint-Pierre,-21.3393,55.4781,75.9,88,20,3.44,RE,2022-04-14 03:23:33
41,Qaanaaq,77.484,-69.3632,-4.38,93,100,4.25,GL,2022-04-14 03:23:34
42,Kapaa,22.0752,-159.319,80.58,84,100,13.8,US,2022-04-14 03:23:34
43,Calabozo,8.9242,-67.4293,86.05,47,100,12.66,VE,2022-04-14 03:23:35
44,Orlik,52.5178,99.825,14.05,72,34,0.83,RU,2022-04-14 03:23:35
45,Faanui,-16.4833,-151.75,81.66,73,9,15.43,PF,2022-04-14 03:23:36
46,Khorramshahr,30.4397,48.1664,69.76,35,40,11.5,IR,2022-04-14 03:23:36
47,Dandong,40.1292,124.3947,61.72,28,48,2.86,CN,2022-04-14 03:24:36
48,Bethel,41.3712,-73.414,64.49,80,100,5.75,US,2022-04-14 03:24:37
49,Ushuaia,-54.8,-68.3,47.86,66,20,29.93,AR,2022-04-14 03:24:37
50,Tuktoyaktuk,69.4541,-133.0374,-0.4,78,0,9.22,CA,2022-04-14 03:24:38
51,Iquique,-20.2208,-70.1431,62.64,75,47,3.91,CL,2022-04-14 03:24:38
52,Fortuna,40.5982,-124.1573,45.66,90,100,16.11,US,2022-04-14 03:24:39
53,Padang,-0.9492,100.3543,87.85,64,62,3.8,ID,2022-04-14 03:23:38
54,Pangai,-19.8,-174.35,84.31,65,20,8.05,TO,2022-04-14 03:24:39
55,Dunedin,-45.8742,170.5036,59.2,52,39,5.48,NZ,2022-04-14 03:24:40
56,Hobart,-42.8794,147.3294,66.25,57,75,6.91,AU,2022-04-14 03:21:32
57,Dikson,73.5069,80.5464,21.38,96,98,8.5,RU,2022-04-14 03:24:40
58,Butaritari,3.0707,172.7902,81.66,76,34,14.88,KI,2022-04-14 03:24:41
59,Jamestown,42.097,-79.2353,66.18,52,100,6.91,US,2022-04-14 03:21:10
60,Vanimo,-2.6741,141.3028,87.67,62,59,7.14,PG,2022-04-14 03:24:41
61,Matara,5.9485,80.5353,82.71,77,84,4.41,LK,2022-04-14 03:24:42
62,Antalaha,-14.9003,50.2788,73.6,87,18,6.24,MG,2022-04-14 03:24:42
63,Mataura,-46.1927,168.8643,59.49,53,45,4.72,NZ,2022-04-14 03:24:42
64,Abay,49.6311,72.8539,44.98,47,64,8.77,KZ,2022-04-14 03:24:43
65,Zhigansk,66.7697,123.3711,25.47,93,100,21.97,RU,2022-04-14 03:24:43
66,Pondicherry,11.93,79.83,85.05,69,88,9.33,IN,2022-04-14 03:24:44
67,Alice Springs,-23.7,133.8833,94.55,15,1,6.91,AU,2022-04-14 03:24:44
68,Kjollefjord,70.9457,27.3465,28.45,74,0,11.5,NO,2022-04-14 03:24:45
69,Tiksi,71.6872,128.8694,2.34,93,100,8.01,RU,2022-04-14 03:24:45
70,Bulgan,48.8125,103.5347,27.05,73,100,7.31,MN,2022-04-14 03:24:46
71,Islahiye,37.025,36.6306,39.07,44,0,3.89,TR,2022-04-14 03:24:46
72,Auki,-8.7676,160.7034,86.36,63,36,2.13,SB,2022-04-14 03:24:47
73,Saint-Philippe,-21.3585,55.7679,73.11,89,47,14.65,RE,2022-04-14 03:24:47
74,Port Macquarie,-31.4333,152.9167,70.9,62,22,10.02,AU,2022-04-14 03:24:47
75,Meulaboh,4.1363,96.1285,83.79,69,72,0.67,ID,2022-04-14 03:24:48
76,Berlevag,70.8578,29.0864,24.8,90,88,4.88,NO,2022-04-14 03:24:48
77,Hilo,19.7297,-155.09,80.28,82,75,9.22,US,2022-04-14 03:23:42
78,Pitimbu,-7.4706,-34.8086,75.79,80,61,4.32,BR,2022-04-14 03:24:49
79,Amapa,1.0,-52.0,71.01,99,100,1.97,BR,2022-04-14 03:24:49
80,Saskylakh,71.9167,114.0833,2.43,94,100,11.05,RU,2022-04-14 03:24:50
81,Bredasdorp,-34.5322,20.0403,62.65,82,100,3.49,ZA,2022-04-14 03:24:50
82,Baker City,44.7749,-117.8344,28.6,74,0,5.75,US,2022-04-14 03:21:56
83,Iqaluit,63.7506,-68.5145,-7.31,76,0,13.8,CA,2022-04-14 03:24:51
84,Kaduqli,11.0167,29.7167,82.36,44,29,1.68,SD,2022-04-14 03:24:51
85,Yangambi,0.8102,24.4336,69.76,99,100,2.01,CD,2022-04-14 03:24:51
86,Thompson,55.7435,-97.8558,15.96,67,100,18.41,CA,2022-04-14 03:22:09
87,Hermanus,-34.4187,19.2345,60.8,87,100,8.08,ZA,2022-04-14 03:24:52
88,Avarua,-21.2078,-159.775,84.25,74,7,4.61,CK,2022-04-14 03:24:52
89,Beloha,-25.1667,45.05,71.98,70,57,5.77,MG,2022-04-14 03:24:53
90,Kandi,11.1342,2.9386,82.27,58,62,9.17,BJ,2022-04-14 03:24:53
91,Qandala,11.472,49.8728,84.38,37,0,9.84,SO,2022-04-14 03:25:54
92,Buenavista,8.9769,125.4089,85.62,63,88,5.41,PH,2022-04-14 03:25:54
93,Portland,45.5234,-122.6762,44.53,82,75,5.75,US,2022-04-14 03:25:40
94,Cefalu,38.0386,14.0229,58.53,60,100,3.0,IT,2022-04-14 03:25:55
95,San Vicente,-26.6167,-54.1333,60.42,95,41,5.35,AR,2022-04-14 03:25:55
96,Arraial Do Cabo,-22.9661,-42.0278,77.07,88,96,10.2,BR,2022-04-14 03:25:55
97,Torbay,47.6666,-52.7314,33.58,92,100,23.02,CA,2022-04-14 03:25:56
98,Campoverde,-8.4753,-74.8058,74.89,95,97,1.86,PE,2022-04-14 03:25:56
99,Paita,-5.0892,-81.1144,69.12,79,38,13.51,PE,2022-04-14 03:25:57
100,Ambon,-3.6954,128.1814,86.14,70,20,2.3,ID,2022-04-14 03:25:57
101,Palmer,42.1584,-72.3287,62.2,78,100,8.05,US,2022-04-14 03:25:58
102,Kem,64.9555,34.5793,30.09,92,100,4.5,RU,2022-04-14 03:25:58
103,Minuri,16.535,121.8574,84.52,69,78,2.89,PH,2022-04-14 03:25:58
104,Antofagasta,-23.65,-70.4,58.28,79,38,2.62,CL,2022-04-14 03:25:36
105,Pacific Grove,36.6177,-121.9166,54.01,76,100,6.91,US,2022-04-14 03:21:31
106,Hambantota,6.1241,81.1185,82.74,94,20,5.75,LK,2022-04-14 03:25:59
107,Kolondieba,11.0882,-6.8926,84.0,49,100,8.32,ML,2022-04-14 03:21:09
108,Tuatapere,-46.1333,167.6833,62.11,61,43,6.29,NZ,2022-04-14 03:26:00
109,Pevek,69.7008,170.3133,9.05,81,94,3.33,RU,2022-04-14 03:26:00
110,Bani Walid,31.7566,13.9942,60.37,67,100,8.81,LY,2022-04-14 03:26:00
111,Roald,62.5833,6.1333,41.76,87,4,14.97,NO,2022-04-14 03:26:01
112,Esmeraldas,-19.7625,-44.3139,72.46,93,77,1.52,BR,2022-04-14 03:22:04
113,Port Alfred,-33.5906,26.891,60.19,95,69,11.88,ZA,2022-04-14 03:26:01
114,Ukiah,39.1502,-123.2078,48.43,91,100,0.0,US,2022-04-14 03:24:09
115,Haradok,55.4624,29.9816,37.51,84,49,3.44,BY,2022-04-14 03:26:02
116,Nome,64.5011,-165.4064,35.17,80,100,12.66,US,2022-04-14 03:26:03
117,Victor Harbor,-35.5667,138.6167,75.69,33,100,1.99,AU,2022-04-14 03:26:03
118,Namatanai,-3.6667,152.4333,85.91,62,92,8.25,PG,2022-04-14 03:23:12
119,Sur,22.5667,59.5289,88.05,30,6,4.03,OM,2022-04-14 03:26:04
120,Verkhnyaya Inta,65.9811,60.3094,35.29,95,91,5.55,RU,2022-04-14 03:26:04
121,Jieshi,22.8134,115.8257,80.94,60,0,7.56,CN,2022-04-14 03:26:05
122,Atuona,-9.8,-139.0333,79.41,77,47,17.27,PF,2022-04-14 03:26:05
123,Bubaque,11.2833,-15.8333,74.79,74,75,15.05,GW,2022-04-14 03:26:05
124,Sorland,67.667,12.6934,38.37,71,15,10.07,NO,2022-04-14 03:26:06
125,Harper,4.375,-7.7169,76.96,86,100,6.42,LR,2022-04-14 03:26:06
126,Henties Bay,-22.116,14.2845,58.01,91,37,9.31,NA,2022-04-14 03:26:07
127,Lamar,33.6668,-95.5836,55.31,58,0,10.36,US,2022-04-14 03:26:07
128,Taihe,30.8712,105.3845,64.17,93,100,5.93,CN,2022-04-14 03:26:08
129,Port Shepstone,-30.7414,30.455,67.55,80,0,6.4,ZA,2022-04-14 03:26:08
130,Boshnyakovo,49.6333,142.1667,29.68,68,44,6.46,RU,2022-04-14 03:26:09
131,Madimba,-10.4,40.3333,75.88,90,82,6.46,TZ,2022-04-14 03:26:09
132,Cairns,-16.9167,145.7667,85.06,82,75,10.36,AU,2022-04-14 03:26:10
133,Voyvozh,62.892,54.9635,35.74,99,100,7.9,RU,2022-04-14 03:26:10
134,Khatanga,71.9667,102.5,7.9,90,100,8.66,RU,2022-04-14 03:26:11
135,Norman Wells,65.282,-126.8329,21.24,79,75,12.66,CA,2022-04-14 03:26:11
136,Vikarabad,17.3333,77.9,87.12,32,94,10.13,IN,2022-04-14 03:27:12
137,Constitucion,-35.3333,-72.4167,55.89,52,0,6.31,CL,2022-04-14 03:27:12
138,Tasiilaq,65.6145,-37.6368,26.76,89,100,6.51,GL,2022-04-14 03:27:13
139,Ketchikan,55.3422,-131.6461,39.67,28,0,4.61,US,2022-04-14 03:27:13
140,Kilindoni,-7.9139,39.6668,81.14,80,100,13.69,TZ,2022-04-14 03:27:13
141,Gijon,43.5357,-5.6615,54.25,93,44,3.89,ES,2022-04-14 03:27:14
142,Mehamn,71.0357,27.8492,24.75,74,0,11.5,NO,2022-04-14 03:27:14
143,Albany,42.6001,-73.9662,65.05,77,92,2.8,US,2022-04-14 03:27:14
144,Boz,46.4071,4.9109,52.14,97,42,3.06,FR,2022-04-14 03:27:15
145,Santa Maria,-29.6842,-53.8069,61.9,63,40,2.3,BR,2022-04-14 03:27:15
146,Carlos Chagas,-17.7031,-40.7664,73.33,86,7,1.48,BR,2022-04-14 03:27:16
147,Caravelas,-17.7125,-39.2481,75.65,89,22,5.59,BR,2022-04-14 03:27:16
148,Guerrero Negro,27.9769,-114.0611,60.01,73,23,17.11,MX,2022-04-14 03:27:16
149,Evensk,61.95,159.2333,28.31,79,100,10.49,RU,2022-04-14 03:27:17
150,Beba,22.4437,-79.7253,75.47,86,45,13.06,CU,2022-04-14 03:27:17
151,Sibolga,1.7427,98.7792,85.77,66,99,3.0,ID,2022-04-14 03:27:18
152,Wanaka,-44.7,169.15,62.11,57,36,1.99,NZ,2022-04-14 03:27:18
153,Sioux Lookout,50.1001,-91.917,26.67,100,100,10.36,CA,2022-04-14 03:27:18
154,Lixourion,38.2019,20.4314,54.95,69,77,4.52,GR,2022-04-14 03:27:19
155,Agadez,19.75,10.25,80.69,9,70,11.7,NE,2022-04-14 03:27:19
156,Havre-Saint-Pierre,50.2334,-63.5986,35.6,93,100,8.05,CA,2022-04-14 03:27:20
157,Garowe,8.4054,48.4845,73.42,86,6,6.06,SO,2022-04-14 03:27:20
158,Clyde River,70.4692,-68.5914,-19.97,76,0,2.3,CA,2022-04-14 03:27:20
159,Yellowknife,62.456,-114.3525,3.72,72,0,6.91,CA,2022-04-14 03:23:20
160,Ahuimanu,21.4447,-157.8378,80.31,69,20,10.36,US,2022-04-14 03:23:48
161,Nelson Bay,-32.7167,152.15,74.08,65,58,10.69,AU,2022-04-14 03:27:21
162,Puerto Ayora,-0.7393,-90.3518,76.53,90,88,6.62,EC,2022-04-14 03:27:22
163,Vicuna,-30.0319,-70.7081,47.93,50,0,0.65,CL,2022-04-14 03:25:41
164,Codrington,-38.2667,141.9667,72.36,36,100,9.75,AU,2022-04-14 03:27:22
165,Chokurdakh,70.6333,147.9167,5.52,85,6,5.12,RU,2022-04-14 03:27:22
166,Parkes,-33.1333,148.1833,76.35,34,0,1.01,AU,2022-04-14 03:27:23
167,Kupang,-10.1667,123.5833,85.73,67,79,1.79,ID,2022-04-14 03:27:23
168,Hasaki,35.7333,140.8333,52.2,85,100,26.71,JP,2022-04-14 03:27:24
169,Nishihara,26.1842,127.7558,78.46,75,75,9.22,JP,2022-04-14 03:27:24
170,Road Town,18.4167,-64.6167,77.09,75,6,22.79,VG,2022-04-14 03:27:25
171,Saint George,37.1041,-113.5841,57.63,11,0,3.44,US,2022-04-14 03:27:25
172,Pestravka,52.405,49.9583,49.21,87,100,8.43,RU,2022-04-14 03:27:26
173,Kamaishi,39.2667,141.8833,41.54,84,100,9.66,JP,2022-04-14 03:27:26
174,Sao Joao Da Barra,-21.6403,-41.0511,77.41,89,100,4.12,BR,2022-04-14 03:25:08
175,Rudnichnyy,59.617,52.4703,37.63,99,98,3.49,RU,2022-04-14 03:27:27
176,Butajira,8.1167,38.3667,61.93,73,98,5.06,ET,2022-04-14 03:27:27
177,Saldanha,-33.0117,17.9442,62.65,88,100,21.03,ZA,2022-04-14 03:27:27
178,Port-Gentil,-0.7193,8.7815,79.93,83,100,5.48,GA,2022-04-14 03:27:28
179,Carnarvon,-24.8667,113.6333,86.07,32,0,12.66,AU,2022-04-14 03:27:28
180,Shingu,33.7333,135.9833,70.7,77,71,6.08,JP,2022-04-14 03:27:29
181,Pizarro,4.9533,-77.366,77.97,91,99,4.59,CO,2022-04-14 03:28:29
182,Mobaye,4.319,21.1786,70.21,95,100,1.34,CF,2022-04-14 03:28:30
183,Port Keats,-14.25,129.55,91.42,54,17,4.07,AU,2022-04-14 03:28:30
184,Sakakah,29.9697,40.2064,65.77,30,37,15.82,SA,2022-04-14 03:28:30
185,Teya,60.3778,92.6267,37.45,92,100,11.54,RU,2022-04-14 03:28:31
186,Basoko,1.2391,23.616,71.35,96,100,2.64,CD,2022-04-14 03:28:31
187,Katsuura,35.1333,140.3,57.81,86,100,23.09,JP,2022-04-14 03:28:32
188,Quatre Cocos,-20.2078,57.7625,79.09,83,75,18.75,MU,2022-04-14 03:28:32
189,Salalah,17.0151,54.0924,80.69,83,75,2.3,OM,2022-04-14 03:28:32
190,Okhotsk,59.3833,143.3,27.73,63,14,15.05,RU,2022-04-14 03:28:33
191,Luderitz,-26.6481,15.1594,59.94,80,7,6.98,NA,2022-04-14 03:28:33
192,Narsaq,60.9167,-46.05,46.62,60,100,4.61,GL,2022-04-14 03:28:34
193,Gizo,-8.103,156.8419,85.53,62,13,2.93,SB,2022-04-14 03:28:34
194,East London,-33.0153,27.9116,63.54,100,100,3.44,ZA,2022-04-14 03:28:10
195,Vila Franca Do Campo,37.7167,-25.4333,57.61,82,19,6.62,PT,2022-04-14 03:28:35
196,Camacha,33.0833,-16.3333,58.42,77,40,10.36,PT,2022-04-14 03:28:35
197,Likasi,-10.9814,26.7333,59.76,97,70,3.29,CD,2022-04-14 03:28:36
198,Muhos,64.808,25.9931,35.38,93,99,5.82,FI,2022-04-14 03:28:36
199,Sisimiut,66.9395,-53.6735,14.02,84,44,16.2,GL,2022-04-14 03:28:37
200,Kars,40.602,43.095,1.85,92,36,2.3,TR,2022-04-14 03:28:37
201,Geraldton,-28.7667,114.6,77.41,53,0,20.71,AU,2022-04-14 03:27:50
202,Oussouye,12.485,-16.5469,68.18,79,68,10.04,SN,2022-04-14 03:28:37
203,Christchurch,-43.5333,172.6333,61.48,63,2,8.05,NZ,2022-04-14 03:28:38
204,Nemuro,43.3236,145.575,34.02,71,58,7.07,JP,2022-04-14 03:28:38
205,Ancud,-41.8697,-73.8203,52.23,93,24,4.45,CL,2022-04-14 03:28:39
206,Iquitos,-3.7481,-73.2472,78.84,89,75,1.14,PE,2022-04-14 03:24:53
207,Sao Filipe,14.8961,-24.4956,70.77,75,76,8.41,CV,2022-04-14 03:28:39
208,Semnan,35.5729,53.3971,66.9,15,65,3.96,IR,2022-04-14 03:28:39
209,Bouna,9.2667,-3.0,76.39,69,96,7.09,CI,2022-04-14 03:28:40
210,Labuhan,-6.8844,112.2051,84.72,70,13,3.89,ID,2022-04-14 03:28:40
211,Flinders,-34.5833,150.8552,74.48,63,3,3.36,AU,2022-04-14 03:28:41
212,Axim,4.8699,-2.2405,79.79,83,62,9.24,GH,2022-04-14 03:28:41
213,Bambous Virieux,-20.3428,57.7575,79.21,83,75,13.8,MU,2022-04-14 03:28:41
214,Sapa,5.1544,120.3241,83.61,69,100,1.19,PH,2022-04-14 03:28:42
215,Nouadhibou,20.931,-17.0347,63.16,88,0,21.56,MR,2022-04-14 03:28:42
216,Bathurst,-33.4166,149.5806,71.96,47,1,1.01,AU,2022-04-14 03:28:43
217,Aiquile,-18.2041,-65.1807,55.49,96,41,2.59,BO,2022-04-14 03:28:43
218,Bengkulu,-3.8004,102.2655,83.93,66,51,2.95,ID,2022-04-14 03:28:43
219,Gushikawa,26.3544,127.8686,78.39,71,75,8.05,JP,2022-04-14 03:28:44
220,Harrismith,-28.2728,29.1295,47.21,92,0,3.04,ZA,2022-04-14 03:28:44
221,Inverness,57.4791,-4.224,43.99,94,75,2.3,GB,2022-04-14 03:28:45
222,The Valley,18.217,-63.0578,78.1,70,13,21.41,AI,2022-04-14 03:28:45
223,Turukhansk,65.8167,87.9833,32.31,100,100,6.78,RU,2022-04-14 03:28:46
224,Denpasar,-8.65,115.2167,87.46,74,20,5.75,ID,2022-04-14 03:26:04
225,Dongkan,33.9997,119.8308,61.27,63,31,17.76,CN,2022-04-14 03:28:46
226,Blackpool,53.8167,-3.05,46.9,92,95,3.24,GB,2022-04-14 03:28:47
227,Kruisfontein,-34.0033,24.7314,56.88,85,66,8.97,ZA,2022-04-14 03:28:47
228,Castro,-24.7911,-50.0119,60.75,97,37,0.6,BR,2022-04-14 03:28:47
229,Monrovia,6.3005,-10.7969,79.2,87,100,9.22,LR,2022-04-14 03:29:48
230,Yarim,14.298,44.3779,54.61,41,0,4.94,YE,2022-04-14 03:29:48
231,Freeport,40.6576,-73.5832,63.37,75,0,8.05,US,2022-04-14 03:29:49
232,Batangafo,7.3008,18.2833,75.88,75,99,3.36,CF,2022-04-14 03:29:49
233,College,64.8569,-147.8028,44.55,35,40,0.0,US,2022-04-14 03:29:50
234,Kokopo,-4.352,152.2633,85.17,62,68,4.41,PG,2022-04-14 03:29:50
235,Mahebourg,-20.4081,57.7,79.25,83,75,13.8,MU,2022-04-14 03:29:51
236,Busembatia,0.7697,33.6131,64.44,87,56,2.71,UG,2022-04-14 03:29:51
237,Port Hedland,-20.3167,118.5667,95.05,28,5,10.36,AU,2022-04-14 03:29:51
238,Tondano,1.3038,124.9112,80.69,74,100,1.05,ID,2022-04-14 03:29:52
239,Viedma,-40.8135,-62.9967,53.13,63,1,3.96,AR,2022-04-14 03:29:52
240,Hargeysa,9.56,44.065,70.63,54,55,3.65,SO,2022-04-14 03:29:52
241,Cortez,37.3489,-108.5859,35.69,30,0,0.0,US,2022-04-14 03:26:09
242,Hami,42.8,93.45,55.35,16,0,24.32,CN,2022-04-14 03:29:53
243,Georgetown,5.4112,100.3354,89.55,72,20,3.44,MY,2022-04-14 03:26:55
244,Teguldet,57.3064,88.1667,41.38,50,2,6.69,RU,2022-04-14 03:29:54
245,Opuwo,-18.0607,13.84,64.42,70,42,3.91,NA,2022-04-14 03:29:54
246,Touros,-5.1989,-35.4608,78.35,84,27,6.89,BR,2022-04-14 03:29:33
247,Andros Town,24.7,-77.7667,75.16,78,96,18.43,BS,2022-04-14 03:29:54
248,Benguela,-12.5763,13.4055,78.53,78,94,4.61,AO,2022-04-14 03:29:55
249,Kaitangata,-46.2817,169.8464,62.64,55,30,6.51,NZ,2022-04-14 03:29:56
250,Atherton,53.5237,-2.4935,46.42,92,67,2.1,GB,2022-04-14 03:29:56
251,Emirdag,39.0197,31.15,32.94,61,3,2.04,TR,2022-04-14 03:29:56
252,Swift Current,50.2834,-107.8014,18.41,86,100,13.8,CA,2022-04-14 03:29:57
253,Hobyo,5.3505,48.5268,81.34,76,29,9.06,SO,2022-04-14 03:29:57
254,Channel-Port Aux Basques,47.5702,-59.1367,33.89,79,72,9.55,CA,2022-04-14 03:29:58
255,Tautira,-17.7333,-149.15,82.08,73,36,19.69,PF,2022-04-14 03:29:58
256,Olafsvik,64.8945,-23.7142,41.2,88,100,18.32,IS,2022-04-14 03:29:34
257,Samfya,-11.3649,29.5565,63.91,95,75,5.17,ZM,2022-04-14 03:30:00
258,Labis,2.385,103.021,87.15,64,89,4.47,MY,2022-04-14 03:30:00
259,Aykhal,66.0,111.5,25.66,89,94,21.92,RU,2022-04-14 03:30:01
260,Gomel,52.4345,30.9754,38.82,70,0,11.18,BY,2022-04-14 03:30:02
261,Ciudad Bolivar,8.1222,-63.5497,80.11,62,54,15.66,VE,2022-04-14 03:30:03
262,Lorengau,-2.0226,147.2712,85.68,71,100,10.67,PG,2022-04-14 03:30:03
263,Kurilsk,45.2333,147.8833,31.75,70,97,5.55,RU,2022-04-14 03:30:04
264,Cornwall,45.0181,-74.7281,48.85,100,100,9.22,CA,2022-04-14 03:26:50
265,Bonavista,48.6499,-53.1147,31.19,84,100,29.75,CA,2022-04-14 03:30:05
266,Praia Da Vitoria,38.7333,-27.0667,61.05,63,20,5.57,PT,2022-04-14 03:30:06
267,Hay River,60.8156,-115.7999,8.58,61,0,4.61,CA,2022-04-14 03:30:07
268,Ayan,56.45,138.1667,33.24,66,20,6.53,RU,2022-04-14 03:30:07
269,Souillac,-20.5167,57.5167,79.18,83,75,13.8,MU,2022-04-14 03:30:08
270,Ballina,-28.8667,153.5667,75.16,63,40,16.11,AU,2022-04-14 03:30:08
271,Hundested,55.9667,11.8667,48.49,92,100,1.01,DK,2022-04-14 03:30:09
272,Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.99,41,75,17.9,RU,2022-04-14 03:25:37
273,Sayyan,15.1718,44.3244,60.12,45,0,3.31,YE,2022-04-14 03:30:10
274,Meiganga,6.5167,14.3,66.49,95,94,3.47,CM,2022-04-14 03:31:10
275,Kavieng,-2.5744,150.7967,85.33,69,86,11.61,PG,2022-04-14 03:31:11
276,Yulara,-25.2406,130.9889,93.04,16,27,5.75,AU,2022-04-14 03:31:11
277,Nove Mesto Pod Smrkem,50.9249,15.2294,50.68,78,100,5.1,CZ,2022-04-14 03:31:12
278,Linxia,35.6003,103.2064,47.48,59,98,5.68,CN,2022-04-14 03:31:12
279,Pierre,44.3683,-100.351,27.52,58,75,36.82,US,2022-04-14 03:31:12
280,Karratha,-20.7377,116.8463,94.93,21,0,4.52,AU,2022-04-14 03:31:13
281,Aksu,41.1231,80.2644,68.47,14,65,8.28,CN,2022-04-14 03:31:13
282,Wajid,3.8093,43.2471,77.49,79,10,13.35,SO,2022-04-14 03:31:14
